reviewId,rating,text,asin,user_id,helpful_vote,verified_purchase
250,3.0,"Doesn't cover the entire screen, does its job of being a reflective surface, however you get what you pay for when it comes to this. Not so crazy cool, but works for now until I decide to buy another one.",B00O2HJNJG,AFO6QN6ICKWUFQV3UEWK5EECIQTQ,0,True
251,3.0,"You get what you pay for, not for protective wear in the slightest but still a cool parlor trick.",B00P3BSDOG,AFO6QN6ICKWUFQV3UEWK5EECIQTQ,0,True
252,1.0,"Got it in the mail and was way too excited to use it, I usually only get 10% charged on my phone and the thing is done.",B00IYL5NVS,AFO6QN6ICKWUFQV3UEWK5EECIQTQ,0,True
253,3.0,"Wouldn't buy it again, but it's a very sturdy, bulky case. Kickstand is somewhat useful. Case is nice and sharp looking. Wished the front part extended above the screen of my phone, so I wouldn't have to worry about scratches. 3/5.",B00KKRRT0C,AFO6QN6ICKWUFQV3UEWK5EECIQTQ,0,True
254,5.0,I like the design & the weight of the case feels comfortable,B075G6V9D3,AET3VOB7PYHAKDAPEDTFGPSEE6QQ,0,True
255,1.0,Fell apart right away.  Clamps get in the way of the buttons on iPhone 5,B00EYNRJOE,AET3VOB7PYHAKDAPEDTFGPSEE6QQ,0,True
256,5.0,Have bought this brand for a few years. I have had my current one on for 2 years. Bought these for my husband’s upgrade,B095RTJH1M,AH4MB6HER73XDOV6I4ICPNT24YQQ,0,True
257,1.0,"Within 2 weeks of using it fell off the phone at some point and now is lost, forever I suppose. I like the way it felt while using for holding phone and loved how it worked as a stand but magnet did not hold sadly.",B09B3FDTJR,AHFY2QSS6PK5MHSYZFI6TXUYNPLQ,0,True
258,5.0,The pictures aren’t clear,B00Z7TXGC8,AGMJ3EMDVL6OWBJF7CA5RGJLXN5A,0,True
259,1.0,"Ok, it's attractive and I liked that it had slots for credit cards.  But it doesn't actually hold your phone in place.  Which, by definition, is what a case is for.",B089FC8S1Q,AEZGPLOYTSAPR3DHZKKXEFPAXUAA,0,True
260,1.0,Stopped working pretty quickly.,B00UCZGS6S,AHCPZDDPHJE3G7M6ST5WGRPLXHOA,0,True
261,5.0,Durable.  Just what I needed.,B094JD5G34,AHCPZDDPHJE3G7M6ST5WGRPLXHOA,0,True
262,3.0,Too slippery.  I dropped my phone constantly.  Had too get something different.,B08GS7QV6D,AHCPZDDPHJE3G7M6ST5WGRPLXHOA,0,True
263,5.0,Unique & pretty. Nice sizing abilities with the chain.,B076HNKY9N,AEWJXW46LKSW22FWTGRYTLNE7TGA,0,True
264,5.0,"Very diverse. Bought as gifts, they liked them. Some use at desk, some are using in their cars.",B00P8XBNQY,AEWJXW46LKSW22FWTGRYTLNE7TGA,0,True
265,5.0,I like what it do fast in do the Job!!  I got my friends  buying it  how it sits and charge  without  plugging it in. You have to check it out!,B06XXZK99F,AFUZ5E7QAHSVTLIY253GFAYZPN2Q,0,True
266,4.0,Really nothing I don't have to charge in a couple of days last that law such energy such power I should this a long time ago,B07MW7ZQVN,AFUZ5E7QAHSVTLIY253GFAYZPN2Q,0,True
267,2.0,"I had one that lasted for about a year. I bought another when that one suddenly stopped working. The second unit quit before I had it for two months. The third unit also quit before the two month mark. This is so handy and nice when it works, but they sure don’t last long. We do not use this excessively. It is usually used to charge two iPads and sometimes a phone overnight. I’d say pass on this unless you are okay spending $50 for two months of use.",B07SBPZ86W,AHXBL3QDWZGJYH7A5CMPFNUPMF7Q,0,True
268,1.0,Arrived broken and is the wrong size even though it clearly says it will fit the phone. I would not recommend this.,B004L08BAG,AHXBL3QDWZGJYH7A5CMPFNUPMF7Q,0,True
269,5.0,Bought this for my son for his birthday. He loves it!,B00T6PKDAC,AHXBL3QDWZGJYH7A5CMPFNUPMF7Q,0,True
270,2.0,awful case for protection. Very pretty to look at but would not suggest,B085G326QJ,AGMXMZWCPYOPWYT3AGRU25Y7QLOQ,0,True
